1	56	33
2	104	28
3	81	92
4	34	89
5	48	49
6	36	32
7	31	3
8	75	89
9	92	34
10	69	81
11	53	42
12	47	16
13	81	68
14	59	68
15	86	38
16	89	3
17	68	4
18	94	75
19	29	66
20	31	17
21	72	17
22	94	33
23	65	9
24	82	12
25	76	97
26	16	48
27	38	27
28	22	61
29	70	45
30	74	10
31	93	76
32	45	16
33	19	16
34	100	48
35	19	102
36	56	30
37	102	40
38	104	72
39	12	16
40	98	83
41	16	17
42	72	69
43	47	88
44	13	52
45	33	61
46	4	16
47	3	69
48	1	11
49	98	5
50	61	18
51	76	31
52	44	73
53	21	5
54	19	5
55	64	81
56	24	91
57	102	66
58	48	1
59	1	5
60	98	98
61	13	71
62	10	83
63	93	104
64	76	81
65	50	65
66	2	79
67	4	41
68	66	104
69	8	12
70	97	55
71	41	9
72	40	90
73	87	91
74	9	63
75	33	43
76	88	33
77	87	15
78	73	51
79	86	25
80	83	74
81	82	24
82	62	61
83	68	93
84	38	37
85	14	5
86	91	43
87	54	5
88	91	8
89	6	82
90	47	30
91	4	91
92	13	80
93	83	99
94	85	67
95	38	64
96	88	80
97	60	49
98	8	74
99	53	94
100	1	42
101	7	89
102	63	22
103	31	54
104	86	47
105	1	27
106	55	76
107	52	82
108	85	44
109	37	49
110	82	75
111	63	39
112	48	36
113	38	43
114	14	75
115	34	20
116	94	10
117	50	30
118	4	39
119	59	14
120	44	103
121	56	96
122	37	93
123	69	86
124	34	99
125	76	75
126	6	98
127	70	35
128	15	21
129	74	100
130	74	14
131	99	90
132	17	70
133	43	46
134	98	21
135	54	77
136	60	12
137	90	83
138	103	32
139	35	75
140	25	32
141	85	0
142	70	46
143	100	53
144	9	27
145	53	38
146	9	45
147	6	61
148	8	83
149	101	10
150	20	59
151	96	26
152	104	43
153	92	101
154	42	21
155	43	68
156	57	48
157	43	81
158	39	93
159	103	61
160	91	54
161	29	35
162	82	49
163	63	71
164	82	14
165	59	28
166	23	39
167	9	75
168	41	103
169	59	33
170	102	35
171	85	39
172	11	64
173	97	18
174	36	66
175	102	38
176	39	62
177	29	19
178	65	51
179	65	9
180	33	101
181	39	24
182	83	83
183	69	17
184	0	97
185	9	41
186	65	22
187	82	70
188	70	14
189	23	93
190	31	30
191	30	53
192	32	61
193	65	28
194	6	73
195	46	78
196	17	59
197	21	95
198	65	102
199	97	58
200	46	65
201	65	67
202	11	102
203	72	26
204	22	32
205	69	94
206	35	90
207	65	24
208	9	16
209	89	58
210	3	21
211	4	14
212	77	13
213	19	36
214	64	28
215	82	51
216	27	28
217	42	1
218	93	102
219	4	3
220	81	59
221	6	20
222	76	48
223	27	55
224	27	3
225	1	3
226	73	8
227	43	96
228	16	25
229	12	39
230	69	94
231	37	80
232	6	37
233	75	98
234	70	31
235	66	54
236	67	11
237	78	64
238	2	77
239	1	9
240	44	92
241	102	59
242	96	69
243	74	60
244	26	100
245	80	76
246	85	5
247	6	14
248	84	61
249	15	80
250	64	59
251	66	30
252	88	23
253	82	78
254	51	65
255	2	39
256	48	69
257	70	32
258	3	15
259	5	6
260	66	61
261	104	42
262	76	59
263	19	29
264	81	104
265	10	1
266	52	88
267	20	46
268	98	82
269	69	98
270	46	102
271	60	39
272	97	40
273	77	28
274	102	96
275	32	0
276	77	89
277	75	70
278	68	80
279	17	2
280	71	26
281	36	33
282	78	29
283	37	47
284	52	26
285	5	9
286	56	46
287	86	16
288	68	104
289	62	15
290	2	66
291	29	98
292	99	19
293	26	20
294	55	80
295	87	9
296	60	27
297	83	28
298	48	96
299	69	40
300	52	12
301	60	6
302	52	90
303	99	1
304	54	63
305	33	44
306	58	36
307	99	33
308	98	82
309	21	48
310	37	35
311	77	49
312	43	11
313	9	104
314	30	60
315	43	78
316	60	49
317	73	88
318	35	1
319	28	27
320	38	61
321	104	92
322	2	96
323	23	85
324	94	92
325	31	7
326	57	96
327	102	68
328	17	38
329	36	38
330	33	19
331	44	67
332	3	81
333	48	47
334	91	86
335	28	9
336	97	49
337	72	32
338	3	8
339	74	91
340	56	1
341	32	48
342	102	77
343	98	9
344	57	99
345	54	103
346	31	25
347	80	43
348	74	62
349	60	91
350	94	52
351	83	49
352	84	41
353	9	29
354	39	57
355	2	60
356	76	34
357	27	37
358	76	48
359	7	38
360	68	18
361	47	71
362	89	97
363	102	35
364	61	7
365	3	75
366	97	4
367	101	80
368	100	50
369	16	91
370	9	51
371	86	101
372	18	76
373	2	31
374	86	79
375	30	24
376	25	95
377	84	16
378	103	28
379	71	91
380	36	60
381	94	30
382	70	76
383	76	96
384	61	4
385	38	53
386	39	94
387	82	13
388	33	26
389	59	26
390	18	52
391	86	52
392	85	3
393	12	75
394	27	46
395	42	56
396	104	10
397	85	22
398	46	34
399	30	69
400	99	40
401	7	35
402	80	16
403	67	67
404	68	74
405	50	12
406	27	58
407	20	99
408	88	2
409	25	62
410	75	34
411	63	75
412	24	54
413	71	3
414	59	78
415	69	88
416	60	65
417	19	49
418	65	80
419	24	13
420	19	95
421	75	80
422	44	4
423	29	83
424	10	91
425	46	59
426	3	28
427	6	9
428	96	83
429	46	21
430	22	102
431	48	63
432	64	12
433	102	63
434	22	85
435	93	66
436	97	54
437	50	8
438	88	35
439	55	23
440	45	94
441	10	33
